stationcode,name,arrdt,lat,lon,ts_hour,bikes_mean,bikes_median,docks_mean
12151,Gare de Lyon - Place Louis Armand,Paris,48.845515089794,2.3726498446286,2025-08-20 15:00:00+00:00,53.0,53.0,7.0
12153,Terroirs de France - Lheureux,Paris,48.83212027074841,2.388618104159832,2025-08-20 15:00:00+00:00,48.0,48.0,7.0
12154,Square Georges Melies,Paris,48.84070239213081,2.409667745232582,2025-08-20 15:00:00+00:00,7.0,7.0,30.0
12155,Rottembourg - Général Michel Bizot,Paris,48.83787825992554,2.4044052511453637,2025-08-20 15:00:00+00:00,19.0,19.0,22.0
12156,Niger - Soult,Paris,48.84369906369085,2.410361237220498,2025-08-20 15:00:00+00:00,3.0,3.0,20.0
12157,Fabre d'Eglantine - Place de la Nation,Paris,48.8471116,2.3956204,2025-08-20 15:00:00+00:00,12.0,12.0,56.0
12161,Diderot - Reuilly,Paris,48.847208456061,2.3861273378134,2025-08-20 15:00:00+00:00,38.0,38.0,5.0
12163,Hippodrome Paris-Vincennes,Paris,48.82048387758518,2.446271181106568,2025-08-20 15:00:00+00:00,6.0,6.0,35.0
12164,Stade Pershing,Paris,48.829107826857,2.4583535268903,2025-08-20 15:00:00+00:00,11.0,11.0,15.0
12165,Champs de Manoeuvre - Cartoucherie,Paris,48.835261,2.447974,2025-08-20 15:00:00+00:00,27.0,27.0,7.0
12166,Parc Floral du Bel Air,Paris,48.839285711865735,2.438560165464878,2025-08-20 15:00:00+00:00,12.0,12.0,13.0
12201,Dugommier,Paris,48.838811048815,2.3896577954292,2025-08-20 15:00:00+00:00,35.0,35.0,18.0
12202,Charenton - Wattignies,Paris,48.836919119234,2.3916775206425,2025-08-20 15:00:00+00:00,7.0,7.0,31.0
12203,Nicolaï - Charenton,Paris,48.835478791995,2.392894725661,2025-08-20 15:00:00+00:00,12.0,12.0,29.0
12204,Prague - Théophile Roussel,Paris,48.850330563516,2.3758223011125,2025-08-20 15:00:00+00:00,31.0,31.0,0.0
13001,Port-Royal - Hôpital du Val-de-Grâce,Paris,48.837668272811,2.3448138346607,2025-08-20 15:00:00+00:00,1.0,1.0,17.0
13002,Arago - Glacière,Paris,48.83486054775774,2.3445770524322067,2025-08-20 15:00:00+00:00,5.0,5.0,21.0
13005,Cordelières - Arago,Paris,48.83548071896613,2.348572461702221,2025-08-20 15:00:00+00:00,34.0,34.0,11.0
13006,Duméril - Jeanne d'Arc,Paris,48.838151608087,2.3571084495564,2025-08-20 15:00:00+00:00,5.0,5.0,35.0
13007,Le Brun - Gobelins,Paris,48.835092787824,2.3534681351338,2025-08-20 15:00:00+00:00,2.0,2.0,16.0
13008,Place d'Italie - Soeur Rosalie,Paris,48.831908520394,2.3546943448098,2025-08-20 15:00:00+00:00,12.0,12.0,38.0
